OBJECTID,Address,Postal,D
1,5029   FAIRFAX AVE,94601,
2,3625   WARWICK RD,94555,
3,4952   BROPHY DR,94536,
4,5006   FAIRFAX AVE,94601,
5,7500   HILLMONT DR,94605,
6,852   46TH ST,94608,
7,31   SEQUOYAH VIEW CT,94605,
8,2643   BEST AVE,94619,
9,3039   MODESTO AVE,94619,
10,161   SHANNON CIR,94502,
11,39530   BANYAN TREE CT,94538,
12,463   BUENA VISTA AVE,94501,
13,6615   ALISAL ST,94566,
14,41063   JOYCE AVE,94539,
15,2659   PICKFAIR LN,94550,
16,1815   CLEMENS RD,94602,
17,844   MADEIRA DR,94566,
18,5233   CAMDEN ST,94619,
19,4141   DEEP CREEK RD,94555,
20,1353   MARIGOLD RD,94550,
21,32722   FELLOWS CT,94587,
22,48275   ARCADIAN ST,94539,
23,41974   CHADBOURNE DR,94539,
24,674   10TH ST,94607,
25,2920   DEAKIN ST,94705,
26,2500   65TH AVE,94605,
27,38852   BLUEGILL ST,94536,
28,5829   PICARDY DR,94605,
29,1040   56TH ST,94608,
30,3331   KING ST,94703,
31,610   63RD ST,94609,
32,1930   CHANNING WAY,94704,
33,2511   HEARST AVE,94709,
34,2909   OTIS ST,94703,
35,862   OAK ST,94501,
36,4888   PIPER ST,94538,
37,16009   VIA OLINDA,94580,
38,4418   INYO CT,94538,
39,587   15TH ST,94612,
40,25944   TARRAGON ST,94544,
41,10735   ACALANES DR,94603,
42,32469   DEBORAH DR,94587,
43,3659   REDWOOD RD,94619,
44,1811   PEARL ST,94501,
45,1427   CARLETON ST,94702,
46,3000   CALIFORNIA ST,94703,
47,5491   TYLER PL,94538,
48,1811   PEARL ST,94501,
49,6430   RIDGEWOOD DR,94552,
50,809   RODNEY DR,94577,
51,5659   OCEAN VIEW DR,94618,
52,41040   LINCOLN ST,94538,
53,41228   JOYCE AVE,94539,
54,4642   HAMPSHIRE WAY,94538,
55,25318   LINDENWOOD WAY,94545,
56,1472   UNIVERSITY AVE,94702,
57,29273   CHANCE ST,94544,
58,39647   EMBARCADERO TER,94538,
59,2362   BANCROFT WAY,94704,
60,2226   MARTIN L KING JR WAY,94704,
61,726   KEY ROUTE BLVD,94706,
62,41770   SHERWOOD ST,94538,
63,18514   CAPRICORN CT,94546,
64,623   LOS ALAMOS AVE,94550,
65,587   LEWIS AVE,94577,
66,493   FOREST ST,94618,
67,646   MANDANA BLVD,94610,
68,493   FOREST ST,94618,
69,324   ROBERT WAY,94550,
70,4621   CAPITAN DR,94536,
71,1344   NORTHSIDE AVE,94702,
72,3359   DAISY CT,94542,
73,1240   143RD AVE,94578,
74,18089   REDWOOD RD,94546,
75,1688   PINE ST,94550,
76,1020   OAKES BLVD,94577,
77,32400   ALMADEN BLVD,94587,
78,1323   159TH AVE,94578,
79,664   VICTORIA CT,94577,
80,3309   HARRISON ST,94611,
81,8030   IDLEWOOD ST,94605,
82,395   HAAS AVE,94577,
83,1688   PINE ST,94550,
84,50   LANE CT,94611,
85,2601   WARRING ST,94704,
86,261   CAMPHOR AVE,94539,
87,2383   FERN TRL,94586,
88,15246   LAVERNE DR,94579,
89,349   38TH ST,94609,
90,40337   MONTE CT,94538,
91,41247   APRICOT LN,94539,
92,2838   MONTAIR WAY,94587,
93,306   LEE ST,94610,
94,533   BOULEVARD WAY,94610,
95,5671   MILES AVE,94618,
96,2540   BARBERS POINT RD,94501,
