City,ZipCode,admname1,adm1,adm2,placename,Clown_Name,Clown_Na_1,Country
ABERDEEN,42201,Kentucky,KY,Butler,Aberdeen,Q T PYE,Q T PYE,USA
ABERDEEN,42201,Kentucky,KY,Butler,Aberdeen,PEFESER ZOOMY/KNOTSHUR,PEFESER ZOOMY/KNOTSHUR,USA
ABERDEEN,21001,Maryland,MD,Harford,Aberdeen,PEPPERMINT,PEPPERMINT,USA
ABERDEEN,21001,Maryland,MD,Harford,Aberdeen,PEPPERMINT,PEPPERMINT,
ABILENE,79605,Texas,TX,Taylor,Abilene,SPATZ,SPATZ,USA
ABINGDON,21009,Maryland,MD,Harford,Abingdon,,,USA
ABINGDON,21009,Maryland,MD,Harford,Abingdon,SAM-Z,SAM-Z,USA
ABINGDON,24211,Virginia,VA,Washington,Abingdon,REDBUD,REDBUD,USA
ABINGDON,21009,Maryland,MD,Harford,Abingdon,,,
ABINGDON,21009,Maryland,MD,Harford,Abingdon,SAM-Z,SAM-Z,
ACCORD,2018,Massachusetts,MA,Plymouth,Accord,BLOSSOM,BLOSSOM,USA
ACME,49610,Michigan,MI,Grand Traverse,Acme,MINEAU,MINEAU,USA
ADAIR,74330,Oklahoma,OK,Mayes,Adair,LULU,LULU,USA
ADAMSVILLE(MAYTOWN),35005,Alabama,AL,Jefferson,Adamsville,NETTABELLE,NETTABELLE,USA
ADDISON,60101,Illinois,IL,DuPage,Addison,Z-BO,Z-BO,USA
ADEL,50003,Iowa,IA,Dallas,Adel,SKETCHY,SKETCHY,USA
ADEL,50003,Iowa,IA,Dallas,Adel,TWINKLES,TWINKLES,USA
ADEL,50003,Iowa,IA,Dallas,Adel,BUBBA,BUBBA,USA
AGAWAM,1001,Massachusetts,MA,Hampden,Agawam,BELLA,BELLA,USA
AGAWAM,1001,Massachusetts,MA,Hampden,Agawam,GILLIGAN,GILLIGAN,USA
AGUA DULCE,78330,Texas,TX,Nueces,Agua Dulce,GIGGLES,GIGGLES,USA
AGUA DULCE,78330,Texas,TX,Nueces,Agua Dulce,CHOCOLATE,CHOCOLATE,USA
AIEA,96701,Hawaii,HI,Honolulu,Aiea,CHUCKLES,CHUCKLES,USA
AIEA,96701,Hawaii,HI,Honolulu,Aiea,CHUCKLES,CHUCKLES,USA
AKRON,44333,Ohio,OH,Summit,Akron,MARLOWE,MARLOWE,USA
AKRON,44312,Ohio,OH,Summit,Akron,SKIPPY,SKIPPY,USA
AKRON,44305,Ohio,OH,Summit,Akron,,,USA
ALABASTER,35007,Alabama,AL,Shelby,Alabaster,Q.T.PIE,Q.T.PIE,USA
ALAMAGORDO,88310,New Mexico,NM,Otero,Alamogordo,LOVIE,LOVIE,USA
ALAMEDA,94501,California,CA,Alameda,Alameda,IT'S ME TOO,IT'S ME TOO,USA
ALAMOGORDO,88310,New Mexico,NM,Otero,Alamogordo,BLOSSOM,BLOSSOM,USA
ALAMOGORDO,88310,New Mexico,NM,Otero,Alamogordo,MERRYHEART,MERRY HEART,USA
ALAMOGORDO,88310,New Mexico,NM,Otero,Alamogordo,NUTMEG,NUTMEG,USA
ALBA,75410,Texas,TX,Rains,Alba,GATOR,GATOR,USA
ALBANY,12203,New York,NY,Albany,Albany,MR. E-BUSY,MR. E-BUSY,USA
ALBANY,12203,New York,NY,Albany,Albany,MOXIE GRANT,MOXIE GRANT,USA
ALBANY,12205,New York,NY,Albany,Albany,YAA-YAA,YAA-YAA,USA
ALBANY,12205,New York,NY,Albany,Albany,HAPPY,HAPPY,USA
ALBANY,12205,New York,NY,Albany,Albany,ZIPPY,ZIPPY,USA
ALBANY,12210,New York,NY,Albany,Albany,BAHWAH,BAHWAH,USA
ALBANY,12209,New York,NY,Albany,Albany,KIDD-O,KIDD-O,USA
ALBANY,12209,New York,NY,Albany,Albany,TIE-DYE,TIE-DYE,USA
ALBANY,31707,Georgia,GA,Dougherty,Albany,PIPSQUEAK,PIPSQUEAK,USA
ALBION,46701,Indiana,IN,Noble,Albion,KRINKLE,KRINKLE,USA
ALBUQUERQUE,87120,New Mexico,NM,Bernalillo,Albuquerque,FEATHERS,FEATHERS,USA
ALBUQUERQUE,87108,New Mexico,NM,Bernalillo,Albuquerque,JUBILEE,JUBILEE,USA
ALBUQUERQUE,87107,New Mexico,NM,Bernalillo,Albuquerque,,,USA
ALBUQUERQUE,87110,New Mexico,NM,Bernalillo,Albuquerque,SIP-A-DEE,SIP-A-DEE,USA
ALBUQUERQUE,87199,New Mexico,NM,Bernalillo,Albuquerque,BIG FUN,BIG FUN,USA
ALBUQUERQUE,87105,New Mexico,NM,Bernalillo,Albuquerque,JINGLES,JINGLES,USA
ALBUQUERQUE,87105,New Mexico,NM,Bernalillo,Albuquerque,HIPPITY/WOO-HOO,HIPPITY/WOO-HOO,USA
ALBUQUERQUE,87111,New Mexico,NM,Bernalillo,Albuquerque,SPARKLES,SPARKLES,USA
ALBUQUERQUE,87108,New Mexico,NM,Bernalillo,Albuquerque,TADA,TADA,USA
ALBUQUERQUE,87120,New Mexico,NM,Bernalillo,Albuquerque,WIGGLES,WIGGLES,USA
ALBUQUERQUE,87121,New Mexico,NM,Bernalillo,Albuquerque,,,USA
ALBUQUERQUE,87102,New Mexico,NM,Bernalillo,Albuquerque,SNICKERS,SNICKERS,USA
ALBUQUERQUE,87102,New Mexico,NM,Bernalillo,Albuquerque,OTTIS,OTTIS,USA
ALBUQUERQUE,87192,New Mexico,NM,Bernalillo,Albuquerque,MARY O'NETTE,MARY O'NETTE,USA
ALBUQUERQUE,87192,New Mexico,NM,Bernalillo,Albuquerque,TWINKLES,TWINKLES,USA
ALBUQUERQUE,87112,New Mexico,NM,Bernalillo,Albuquerque,MONIE BOLONIE,MONIE BOLONIE,USA
ALBUQUERQUE,87119,New Mexico,NM,Bernalillo,Albuquerque,,,USA
ALBUQUERQUE,87105,New Mexico,NM,Bernalillo,Albuquerque,PEDALS,PEDALS,USA
ALBURTIY,18011,Pennsylvania,PA,Lehigh,Alburtis,HUBBA BUBBA,HUBBA BUBBA,USA
ALDEN,14004,New York,NY,Erie,Alden,PRINGLE,PRINGLE,USA
ALEXANDRIA,41001,Kentucky,KY,Campbell,Alexandria,BJ,BJ,USA
ALEXANDRIA,22315,Virginia,VA,Fairfax,Alexandria,ERNIE,ERNIE,USA
ALEXANDRIA,22312,Virginia,VA,Fairfax,Alexandria,SPARKPLUG,SPARKPLUG,USA
ALEXANDRIA,22307,Virginia,VA,Fairfax,Alexandria,RANEY,RANEY,USA
ALEXANDRIA,22310,Virginia,VA,Fairfax,Alexandria,DUFFLES,DUFFLES,USA
ALEXANDRIA,22310,Virginia,VA,Fairfax,Alexandria,JOLIE,JOLIE,USA
ALEXANDRIA,22310,Virginia,VA,Fairfax,Alexandria,COLORS,COLORS,USA
ALGONQUIN,60102,Illinois,IL,McHenry,Algonquin,PEABODY,PEABODY,USA
ALGONQUIN,60102,Illinois,IL,McHenry,Algonquin,KLUTZO,KLUTZO,USA
ALICE,78332,Texas,TX,Jim Wells,Alice,PUDDIN,PUDDIN,USA
ALICE,78332,Texas,TX,Jim Wells,Alice,PARSLEY,PARSLEY,USA
ALLEN PARK,48101,Michigan,MI,Wayne,Allen Park,BO BO,BOBO,USA
ALLENDALE,7401,New Jersey,NJ,Bergen,Allendale,DOODLES,DOODLES,USA
ALLENHURST,31301,Georgia,GA,Liberty,Allenhurst,HAPPY HEART,HAPPY HEART,USA
ALLENTOWN,18103,Pennsylvania,PA,Lehigh,Allentown,SPARKLE,SPARKLE,USA
ALLENTOWN,18103,Pennsylvania,PA,Lehigh,Allentown,FRECKLES,FRECKLES,USA
