AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Addr_type,BldgName,BldgType,Block,City,CntryName,Country,DisplayX,DisplayY,Distance,District,ExInfo,LangCode,LevelName,LevelType,LongLabel,Match_addr,MetroArea,Nbrhd,Phone,PlaceName,Place_addr,Postal,PostalExt,Rank,Region,RegionAbbr,ResultID,Score,Sector,ShortLabel,Side,StAddr,StDir,StName,StPreDir,StPreType,StType,Status,StrucDet,StrucType,SubAddr,Subregion,Territory,Type,URL,UnitName,UnitType,X,Xmax,Xmin,Y,Ymax,Ymin,Zone
,5029,,,,PointAddress,,,,Oakland,United States,USA,-122.201298103762,37.776070766978,0,,,ENG,,,"5029 Fairfax Ave, Oakland, CA, 94601, USA","5029 Fairfax Ave, Oakland, California, 94601",,,,,"5029 Fairfax Ave, Oakland, California, 94601",94601,5408,20,California,CA,-1,100,,5029 Fairfax Ave,,5029 Fairfax Ave,,Fairfax,,,Ave,M,Single Family,Residential,,Alameda County,,,,,,-122.201095513162,-122.200298103762,-122.202298103762,37.776157603495,37.777070766978,37.775070766978,
,3039,,,,PointAddress,,,,Oakland,United States,USA,-122.192699360751,37.77971425456,0,,,ENG,,,"3039 Modesto Ave, Oakland, CA, 94619, USA","3039 Modesto Ave, Oakland, California, 94619",,,,,"3039 Modesto Ave, Oakland, California, 94619",94619,3337,20,California,CA,-1,100,,3039 Modesto Ave,,3039 Modesto Ave,,Modesto,,,Ave,M,Single Family,Residential,,Alameda County,,,,,,-122.192605399616,-122.191699360751,-122.193699360751,37.779563296484,37.78071425456,37.77871425456,
,5006,,,,PointAddress,,,,Oakland,United States,USA,-122.201099536475,37.776750204049,0,,,ENG,,,"5006 Fairfax Ave, Oakland, CA, 94601, USA","5006 Fairfax Ave, Oakland, California, 94601",,,,,"5006 Fairfax Ave, Oakland, California, 94601",94601,5407,20,California,CA,-1,100,,5006 Fairfax Ave,,5006 Fairfax Ave,,Fairfax,,,Ave,M,Single Family,Residential,,Alameda County,,,,,,-122.201256361884,-122.200099536475,-122.202099536475,37.776681472443,37.777750204049,37.775750204049,
,41063,,,,PointAddress,,,,Fremont,United States,USA,-121.950493204384,37.539834034415,0,,,ENG,,,"41063 Joyce Ave, Fremont, CA, 94539, USA","41063 Joyce Ave, Fremont, California, 94539",,,,,"41063 Joyce Ave, Fremont, California, 94539",94539,4425,20,California,CA,-1,100,,41063 Joyce Ave,,41063 Joyce Ave,,Joyce,,,Ave,M,Single Family,Residential,,Alameda County,,,,,,-121.950399410888,-121.949493204384,-121.951493204384,37.539993625851,37.540834034415,37.538834034415,
,2659,,,,PointAddress,,,,Livermore,United States,USA,-121.766714612845,37.692524356624,0,,,ENG,,,"2659 Pickfair Ln, Livermore, CA, 94551, USA","2659 Pickfair Ln, Livermore, California, 94551",,,,,"2659 Pickfair Ln, Livermore, California, 94551",94551,1736,20,California,CA,-1,98.3,,2659 Pickfair Ln,,2659 Pickfair Ln,,Pickfair,,,Ln,M,Single Family,Residential,,Alameda County,,,,,,-121.766831624213,-121.765714612845,-121.767714612845,37.692700711867,37.693524356624,37.691524356624,
,4952,,,,PointAddress,,,,Fremont,United States,USA,-121.999905026518,37.538209412032,0,,,ENG,,,"4952 Brophy Dr, Fremont, CA, 94536, USA","4952 Brophy Dr, Fremont, California, 94536",,,,,"4952 Brophy Dr, Fremont, California, 94536",94536,7304,20,California,CA,-1,100,,4952 Brophy Dr,,4952 Brophy Dr,,Brophy,,,Dr,M,Single Family,Residential,,Alameda County,,,,,,-122.000063025393,-121.998905026518,-122.000905026518,37.538364812517,37.539209412032,37.537209412032,
,161,,,,PointAddress,,,,Alameda,United States,USA,-122.256093287028,37.742579825103,0,,,ENG,,,"161 Shannon Cir, Alameda, CA, 94502, USA","161 Shannon Cir, Alameda, California, 94502",,,,,"161 Shannon Cir, Alameda, California, 94502",94502,7755,20,California,CA,-1,100,,161 Shannon Cir,,161 Shannon Cir,,Shannon,,,Cir,M,Single Family,Residential,,Alameda County,,,,,,-122.255957919292,-122.255093287028,-122.257093287028,37.742712175354,37.743579825103,37.741579825103,
,2643,,,,PointAddress,,,,Oakland,United States,USA,-122.198372065182,37.778510822811,0,,,ENG,,,"2643 Best Ave, Oakland, CA, 94619, USA","2643 Best Ave, Oakland, California, 94619",,,,,"2643 Best Ave, Oakland, California, 94619",94619,3201,20,California,CA,-1,100,,2643 Best Ave,,2643 Best Ave,,Best,,,Ave,M,Single Family,Residential,,Alameda County,,,,,,-122.198275338019,-122.197372065182,-122.199372065182,37.7783698392,37.779510822811,37.777510822811,
,6615,,,,PointAddress,,,,Pleasanton,United States,USA,-121.870834697909,37.634649787859,0,,,ENG,,,"6615 Alisal St, Pleasanton, CA, 94566, USA","6615 Alisal St, Pleasanton, California, 94566",,,,,"6615 Alisal St, Pleasanton, California, 94566",94566,9712,20,California,CA,-1,100,,6615 Alisal St,,6615 Alisal St,,Alisal,,,St,M,Single Family,Residential,,Alameda County,,,,,,-121.870593634374,-121.869834697909,-121.871834697909,37.634952206926,37.635649787859,37.633649787859,
,463,,,,PointAddress,,,,Alameda,United States,USA,-122.282869695818,37.778133301892,0,,,ENG,,,"463 Buena Vista Ave, Alameda, CA, 94501, USA","463 Buena Vista Ave, Alameda, California, 94501",,,,,"463 Buena Vista Ave, Alameda, California, 94501",94501,1963,20,California,CA,-1,100,,463 Buena Vista Ave,,463 Buena Vista Ave,,Buena Vista,,,Ave,M,Multifamily,Residential,,Alameda County,,,,,,-122.282889812385,-122.281869695818,-122.283869695818,37.77740198084,37.779133301892,37.777133301892,
,844,,,,PointAddress,,,,Pleasanton,United States,USA,-121.851188690332,37.660834266646,0,,,ENG,,,"844 Madeira Dr, Pleasanton, CA, 94566, USA","844 Madeira Dr, Pleasanton, California, 94566",,,,,"844 Madeira Dr, Pleasanton, California, 94566",94566,6917,20,California,CA,-1,100,,844 Madeira Dr,,844 Madeira Dr,,Madeira,,,Dr,M,Single Family,Residential,,Alameda County,,,,,,-121.851245938731,-121.850188690332,-121.852188690332,37.660640644683,37.661834266646,37.659834266646,
,39530,,,,PointAddress,,,,Fremont,United States,USA,-121.991847419176,37.532118869728,0,,,ENG,,,"39530 Banyan Tree Ct, Fremont, CA, 94538, USA","39530 Banyan Tree Ct, Fremont, California, 94538",,,,,"39530 Banyan Tree Ct, Fremont, California, 94538",94538,1814,20,California,CA,-1,100,,39530 Banyan Tree Ct,,39530 Banyan Tree Ct,,Banyan Tree,,,Ct,M,Single Family,Residential,,Alameda County,,,,,,-121.991684391159,-121.990847419176,-121.992847419176,37.531977383202,37.533118869728,37.531118869728,
,31,,,,PointAddress,,,,Oakland,United States,USA,-122.139402861772,37.761039039009,0,,,ENG,,,"31 Sequoyah View Ct, Oakland, CA, 94605, USA","31 Sequoyah View Ct, Oakland, California, 94605",,,,,"31 Sequoyah View Ct, Oakland, California, 94605",94605,4904,20,California,CA,-1,100,,31 Sequoyah View Ct,,31 Sequoyah View Ct,,Sequoyah View,,,Ct,M,Single Family,Residential,,Alameda County,,,,,,-122.139505875362,-122.138402861772,-122.140402861772,37.760896714293,37.762039039009,37.760039039009,
